predict_date,class_id,predict_quantity
201711,103507,180
201711,124140,263
201711,125403,156
201711,136916,162
201711,169673,152
201711,175962,237
201711,178529,148
201711,186250,83
201711,194201,378
201711,194450,271
201711,198427,99
201711,206765,2057
201711,209945,91
201711,219195,125
201711,221795,391
201711,245609,121
201711,248352,260
201711,249875,138
201711,250658,187
201711,265980,204
201711,270690,595
201711,281301,329
201711,281792,481
201711,289386,441
201711,289403,272
201711,290854,205
201711,291086,320
201711,291514,50
201711,302513,170
201711,304458,373
201711,308913,139
201711,321683,2186
201711,340175,113
201711,347384,2898
201711,348641,340
201711,349023,941
201711,350259,577
201711,354068,460
201711,356986,476
201711,359378,64
201711,360648,160
201711,376193,90
201711,378356,422
201711,378536,105
201711,379265,314
201711,379876,133
201711,384924,765
201711,392593,193
201711,395234,102
201711,401052,134
201711,409854,1675
201711,412240,68
201711,416749,201
201711,417803,116
201711,425432,1848
201711,436105,431
201711,437063,95
201711,437598,66
201711,453752,190
201711,468392,146
201711,472603,84
201711,475895,97
201711,481950,151
201711,482497,177
201711,492952,150
201711,496459,384
201711,501564,149
201711,510309,94
201711,516750,53
201711,526401,385
201711,527765,65
201711,527809,154
201711,540712,335
201711,559132,104
201711,560265,75
201711,569154,359
201711,576298,174
201711,580470,408
201711,580634,248
201711,587678,155
201711,591790,195
201711,597927,140
201711,603972,414
201711,612523,113
201711,614059,326
201711,619401,392
201711,621073,1062
201711,628041,746
201711,649213,107
201711,651347,223
201711,651782,80
201711,653436,171
201711,654134,514
201711,671482,88
201711,682651,281
201711,683364,84
201711,687270,415
201711,692703,551
201711,693436,142
201711,713651,192
201711,714150,190
201711,714152,431
201711,714860,138
201711,725137,89
201711,732758,161
201711,735971,2012
201711,736094,234
201711,739296,816
201711,741152,580
201711,743957,681
201711,745137,852
201711,750340,95
201711,760412,66
201711,786351,104
201711,789290,77
201711,810398,114
201711,815230,168
201711,819061,94
201711,842246,121
201711,851857,157
201711,854079,162
201711,854548,122
201711,861459,252
201711,871642,155
201711,872180,127
201711,883691,254
201711,890189,1302
201711,905061,363
201711,905745,183
201711,914348,483
201711,923841,642
201711,924154,1192
201711,948936,75
201711,950264,1231
201711,953842,1061
201711,961362,73
201711,961962,80
201711,963845,207
201711,973106,108
201711,978089,400
