predict_date,class_id,predict_quantity
201711,103507,210
201711,124140,294
201711,125403,168
201711,136916,185
201711,169673,196
201711,175962,239
201711,178529,176
201711,186250,132
201711,194201,371
201711,194450,274
201711,198427,136
201711,206765,1956
201711,209945,122
201711,219195,146
201711,221795,388
201711,245609,144
201711,248352,301
201711,249875,158
201711,250658,217
201711,265980,228
201711,270690,884
201711,281301,333
201711,281792,473
201711,289386,492
201711,289403,280
201711,290854,270
201711,291086,364
201711,291514,74
201711,302513,189
201711,304458,393
201711,308913,153
201711,321683,2169
201711,340175,165
201711,347384,3497
201711,348641,330
201711,349023,1049
201711,350259,502
201711,354068,463
201711,356986,520
201711,359378,94
201711,360648,167
201711,376193,136
201711,378356,484
201711,378536,135
201711,379265,351
201711,379876,209
201711,384924,702
201711,392593,206
201711,395234,158
201711,401052,151
201711,409854,1489
201711,412240,110
201711,416749,206
201711,417803,143
201711,425432,1876
201711,436105,450
201711,437063,124
201711,437598,97
201711,453752,191
201711,468392,175
201711,472603,130
201711,475895,134
201711,481950,172
201711,482497,186
201711,492952,208
201711,496459,381
201711,501564,171
201711,510309,126
201711,516750,97
201711,526401,434
201711,527765,68
201711,527809,171
201711,540712,308
201711,559132,135
201711,560265,98
201711,569154,330
201711,576298,317
201711,580470,456
201711,580634,244
201711,587678,169
201711,591790,226
201711,597927,198
201711,603972,476
201711,612523,189
201711,614059,325
201711,619401,423
201711,621073,1110
201711,628041,747
201711,649213,133
201711,651347,218
201711,651782,97
201711,653436,196
201711,654134,568
201711,671482,120
201711,682651,279
201711,683364,120
201711,687270,461
201711,692703,535
201711,693436,203
201711,713651,210
201711,714150,212
201711,714152,444
201711,714860,177
201711,725137,125
201711,732758,172
201711,735971,2045
201711,736094,229
201711,739296,847
201711,741152,541
201711,743957,715
201711,745137,921
201711,750340,138
201711,760412,89
201711,786351,154
201711,789290,90
201711,810398,146
201711,815230,188
201711,819061,148
201711,842246,166
201711,851857,170
201711,854079,182
201711,854548,150
201711,861459,274
201711,871642,174
201711,872180,150
201711,883691,270
201711,890189,1174
201711,905061,382
201711,905745,191
201711,914348,562
201711,923841,687
201711,924154,1262
201711,948936,107
201711,950264,1254
201711,953842,983
201711,961362,87
201711,961962,111
201711,963845,219
201711,973106,162
201711,978089,472
