,predict_date,class_id,predict_quantity
0,201711,103507,236.5
1,201711,124140,316.8
2,201711,125403,184.8
3,201711,136916,211.2
4,201711,169673,207.9
5,201711,175962,270.6
6,201711,178529,201.3
7,201711,186250,133.1
8,201711,194201,388.3
9,201711,194450,301.4
10,201711,198427,134.2
11,201711,206765,2020.7
12,201711,209945,125.4
13,201711,219195,156.2
14,201711,221795,398.2
15,201711,245609,154.0
16,201711,248352,332.2
17,201711,249875,177.1
18,201711,250658,227.7
19,201711,265980,264.0
20,201711,270690,1058.2
21,201711,281301,399.3
22,201711,281792,518.1
23,201711,289386,573.1
24,201711,289403,281.6
25,201711,290854,259.6
26,201711,291086,377.3
27,201711,291514,75.9
28,201711,302513,211.2
29,201711,304458,497.2
30,201711,308913,198.0
31,201711,321683,2467.3
32,201711,340175,193.6
33,201711,347384,3842.3
34,201711,348641,350.9
35,201711,349023,1183.6
36,201711,350259,462.0
37,201711,354068,477.4
38,201711,356986,578.6
39,201711,359378,118.8
40,201711,360648,173.8
41,201711,376193,157.3
42,201711,378356,523.6
43,201711,378536,154.0
44,201711,379265,390.5
45,201711,379876,266.2
46,201711,384924,800.8
47,201711,392593,240.9
48,201711,395234,187.0
49,201711,401052,172.7
50,201711,409854,1589.5
51,201711,412240,102.3
52,201711,416749,249.7
53,201711,417803,158.4
54,201711,425432,2003.1
55,201711,436105,464.2
56,201711,437063,133.1
57,201711,437598,112.2
58,201711,453752,217.8
59,201711,468392,195.8
60,201711,472603,137.5
61,201711,475895,163.9
62,201711,481950,185.9
63,201711,482497,202.4
64,201711,492952,228.8
65,201711,496459,453.2
66,201711,501564,185.9
67,201711,510309,144.1
68,201711,516750,101.2
69,201711,526401,515.9
70,201711,527765,56.1
71,201711,527809,188.1
72,201711,540712,345.4
73,201711,559132,147.4
74,201711,560265,110.0
75,201711,569154,376.2
76,201711,576298,336.6
77,201711,580470,503.8
78,201711,580634,267.3
79,201711,587678,193.6
80,201711,591790,292.6
81,201711,597927,217.8
82,201711,603972,509.3
83,201711,612523,166.1
84,201711,614059,366.3
85,201711,619401,456.5
86,201711,621073,1250.7
87,201711,628041,858.0
88,201711,649213,130.9
89,201711,651347,220.0
90,201711,651782,106.7
91,201711,653436,209.0
92,201711,654134,622.6
93,201711,671482,122.1
94,201711,682651,320.1
95,201711,683364,135.3
96,201711,687270,526.9
97,201711,692703,569.8
98,201711,693436,255.2
99,201711,713651,221.1
100,201711,714150,253.0
101,201711,714152,454.3
102,201711,714860,173.8
103,201711,725137,154.0
104,201711,732758,198.0
105,201711,735971,2751.1
106,201711,736094,276.1
107,201711,739296,948.2
108,201711,741152,654.5
109,201711,743957,663.3
110,201711,745137,1029.6
111,201711,750340,130.9
112,201711,760412,107.8
113,201711,786351,202.4
114,201711,789290,88.0
115,201711,810398,159.5
116,201711,815230,215.6
117,201711,819061,178.2
118,201711,842246,179.3
119,201711,851857,189.2
120,201711,854079,205.7
121,201711,854548,168.3
122,201711,861459,298.1
123,201711,871642,194.7
124,201711,872180,163.9
125,201711,883691,317.9
126,201711,890189,1412.4
127,201711,905061,413.6
128,201711,905745,207.9
129,201711,914348,739.2
130,201711,923841,721.6
131,201711,924154,1386.0
132,201711,948936,106.7
133,201711,950264,1305.7
134,201711,953842,1020.8
135,201711,961362,88.0
136,201711,961962,111.1
137,201711,963845,248.6
138,201711,973106,172.7
139,201711,978089,592.9
