,predict_date,class_id,predict_quantity
0,201711,103507,232.2
1,201711,124140,311.04
2,201711,125403,181.44
3,201711,136916,207.36
4,201711,169673,204.12
5,201711,175962,265.68
6,201711,178529,197.64
7,201711,186250,130.68
8,201711,194201,381.24
9,201711,194450,295.92
10,201711,198427,131.76
11,201711,206765,1983.96
12,201711,209945,123.12
13,201711,219195,153.36
14,201711,221795,390.96
15,201711,245609,151.2
16,201711,248352,326.16
17,201711,249875,173.88
18,201711,250658,223.56
19,201711,265980,259.2
20,201711,270690,1038.96
21,201711,281301,392.04
22,201711,281792,508.68
23,201711,289386,562.68
24,201711,289403,276.48
25,201711,290854,254.88
26,201711,291086,370.44
27,201711,291514,74.52
28,201711,302513,207.36
29,201711,304458,488.16
30,201711,308913,194.4
31,201711,321683,2422.44
32,201711,340175,190.08
33,201711,347384,3772.44
34,201711,348641,344.52
35,201711,349023,1162.08
36,201711,350259,453.6
37,201711,354068,468.72
38,201711,356986,568.08
39,201711,359378,116.64
40,201711,360648,170.64
41,201711,376193,154.44
42,201711,378356,514.08
43,201711,378536,151.2
44,201711,379265,383.4
45,201711,379876,261.36
46,201711,384924,786.24
47,201711,392593,236.52
48,201711,395234,183.6
49,201711,401052,169.56
50,201711,409854,1560.6
51,201711,412240,100.44
52,201711,416749,245.16
53,201711,417803,155.52
54,201711,425432,1966.68
55,201711,436105,455.76
56,201711,437063,130.68
57,201711,437598,110.16
58,201711,453752,213.84
59,201711,468392,192.24
60,201711,472603,135.0
61,201711,475895,160.92
62,201711,481950,182.52
63,201711,482497,198.72
64,201711,492952,224.64
65,201711,496459,444.96
66,201711,501564,182.52
67,201711,510309,141.48
68,201711,516750,99.36
69,201711,526401,506.52
70,201711,527765,55.08
71,201711,527809,184.68
72,201711,540712,339.12
73,201711,559132,144.72
74,201711,560265,108.0
75,201711,569154,369.36
76,201711,576298,330.48
77,201711,580470,494.64
78,201711,580634,262.44
79,201711,587678,190.08
80,201711,591790,287.28
81,201711,597927,213.84
82,201711,603972,500.04
83,201711,612523,163.08
84,201711,614059,359.64
85,201711,619401,448.2
86,201711,621073,1227.96
87,201711,628041,842.4
88,201711,649213,128.52
89,201711,651347,216.0
90,201711,651782,104.76
91,201711,653436,205.2
92,201711,654134,611.28
93,201711,671482,119.88
94,201711,682651,314.28
95,201711,683364,132.84
96,201711,687270,517.32
97,201711,692703,559.44
98,201711,693436,250.56
99,201711,713651,217.08
100,201711,714150,248.4
101,201711,714152,446.04
102,201711,714860,170.64
103,201711,725137,151.2
104,201711,732758,194.4
105,201711,735971,2701.08
106,201711,736094,271.08
107,201711,739296,930.96
108,201711,741152,642.6
109,201711,743957,651.24
110,201711,745137,1010.88
111,201711,750340,128.52
112,201711,760412,105.84
113,201711,786351,198.72
114,201711,789290,86.4
115,201711,810398,156.6
116,201711,815230,211.68
117,201711,819061,174.96
118,201711,842246,176.04
119,201711,851857,185.76
120,201711,854079,201.96
121,201711,854548,165.24
122,201711,861459,292.68
123,201711,871642,191.16
124,201711,872180,160.92
125,201711,883691,312.12
126,201711,890189,1386.72
127,201711,905061,406.08
128,201711,905745,204.12
129,201711,914348,725.76
130,201711,923841,708.48
131,201711,924154,1360.8
132,201711,948936,104.76
133,201711,950264,1281.96
134,201711,953842,1002.24
135,201711,961362,86.4
136,201711,961962,109.08
137,201711,963845,244.08
138,201711,973106,169.56
139,201711,978089,582.12
