,predict_date,class_id,predict_quantity
0,201711,103507,225.75
1,201711,124140,302.4
2,201711,125403,176.4
3,201711,136916,201.6
4,201711,169673,198.45
5,201711,175962,258.3
6,201711,178529,192.15
7,201711,186250,127.05
8,201711,194201,370.65
9,201711,194450,287.7
10,201711,198427,128.1
11,201711,206765,1928.85
12,201711,209945,119.7
13,201711,219195,149.1
14,201711,221795,380.1
15,201711,245609,147.0
16,201711,248352,317.1
17,201711,249875,169.05
18,201711,250658,217.35
19,201711,265980,252.0
20,201711,270690,1010.1
21,201711,281301,381.15
22,201711,281792,494.55
23,201711,289386,547.05
24,201711,289403,268.8
25,201711,290854,247.8
26,201711,291086,360.15
27,201711,291514,72.45
28,201711,302513,201.6
29,201711,304458,474.6
30,201711,308913,189.0
31,201711,321683,2355.15
32,201711,340175,184.8
33,201711,347384,3667.65
34,201711,348641,334.95
35,201711,349023,1129.8
36,201711,350259,441.0
37,201711,354068,455.7
38,201711,356986,552.3
39,201711,359378,113.4
40,201711,360648,165.9
41,201711,376193,150.15
42,201711,378356,499.8
43,201711,378536,147.0
44,201711,379265,372.75
45,201711,379876,254.1
46,201711,384924,764.4
47,201711,392593,229.95
48,201711,395234,178.5
49,201711,401052,164.85
50,201711,409854,1517.25
51,201711,412240,97.65
52,201711,416749,238.35
53,201711,417803,151.2
54,201711,425432,1912.05
55,201711,436105,443.1
56,201711,437063,127.05
57,201711,437598,107.1
58,201711,453752,207.9
59,201711,468392,186.9
60,201711,472603,131.25
61,201711,475895,156.45
62,201711,481950,177.45
63,201711,482497,193.2
64,201711,492952,218.4
65,201711,496459,432.6
66,201711,501564,177.45
67,201711,510309,137.55
68,201711,516750,96.6
69,201711,526401,492.45
70,201711,527765,53.55
71,201711,527809,179.55
72,201711,540712,329.7
73,201711,559132,140.7
74,201711,560265,105.0
75,201711,569154,359.1
76,201711,576298,321.3
77,201711,580470,480.9
78,201711,580634,255.15
79,201711,587678,184.8
80,201711,591790,279.3
81,201711,597927,207.9
82,201711,603972,486.15
83,201711,612523,158.55
84,201711,614059,349.65
85,201711,619401,435.75
86,201711,621073,1193.85
87,201711,628041,819.0
88,201711,649213,124.95
89,201711,651347,210.0
90,201711,651782,101.85
91,201711,653436,199.5
92,201711,654134,594.3
93,201711,671482,116.55
94,201711,682651,305.55
95,201711,683364,129.15
96,201711,687270,502.95
97,201711,692703,543.9
98,201711,693436,243.6
99,201711,713651,211.05
100,201711,714150,241.5
101,201711,714152,433.65
102,201711,714860,165.9
103,201711,725137,147.0
104,201711,732758,189.0
105,201711,735971,2626.05
106,201711,736094,263.55
107,201711,739296,905.1
108,201711,741152,624.75
109,201711,743957,633.15
110,201711,745137,982.8
111,201711,750340,124.95
112,201711,760412,102.9
113,201711,786351,193.2
114,201711,789290,84.0
115,201711,810398,152.25
116,201711,815230,205.8
117,201711,819061,170.1
118,201711,842246,171.15
119,201711,851857,180.6
120,201711,854079,196.35
121,201711,854548,160.65
122,201711,861459,284.55
123,201711,871642,185.85
124,201711,872180,156.45
125,201711,883691,303.45
126,201711,890189,1348.2
127,201711,905061,394.8
128,201711,905745,198.45
129,201711,914348,705.6
130,201711,923841,688.8
131,201711,924154,1323.0
132,201711,948936,101.85
133,201711,950264,1246.35
134,201711,953842,974.4
135,201711,961362,84.0
136,201711,961962,106.05
137,201711,963845,237.3
138,201711,973106,164.85
139,201711,978089,565.95
